"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.926,,10/01/2021,09/30/2022
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.881,,10/01/2021,09/30/2022
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.790,,10/01/2021,09/30/2022
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.869,,10/01/2021,09/30/2022
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.828,,10/01/2021,09/30/2022
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.862,,10/01/2021,09/30/2022
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.997,,10/01/2021,09/30/2022
CA,HAI_3_SIR,SSI - Colon Surgery,0.928,,10/01/2021,09/30/2022
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.630,,10/01/2021,09/30/2022
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.903,,10/01/2021,09/30/2022
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.758,,10/01/2021,09/30/2022
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.859,,10/01/2021,09/30/2022
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.985,,10/01/2021,09/30/2022
CA,HAI_5_SIR,MRSA Bacteremia,0.920,,10/01/2021,09/30/2022
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.497,,10/01/2021,09/30/2022
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.529,,10/01/2021,09/30/2022
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.513,,10/01/2021,09/30/2022
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.757,,10/01/2021,09/30/2022
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.980,,10/01/2021,09/30/2022
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.863,,10/01/2021,09/30/2022
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.590,,10/01/2021,09/30/2022
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.767,,10/01/2021,09/30/2022
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.674,,10/01/2021,09/30/2022
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.847,,10/01/2021,09/30/2022
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.166,,10/01/2021,09/30/2022
CO,HAI_3_SIR,SSI - Colon Surgery,0.997,,10/01/2021,09/30/2022
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.688,,10/01/2021,09/30/2022
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.338,,10/01/2021,09/30/2022
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.973,,10/01/2021,09/30/2022
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.674,,10/01/2021,09/30/2022
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.971,,10/01/2021,09/30/2022
CO,HAI_5_SIR,MRSA Bacteremia,0.812,,10/01/2021,09/30/2022
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.457,,10/01/2021,09/30/2022
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.538,,10/01/2021,09/30/2022
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.496,,10/01/2021,09/30/2022
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.791,,10/01/2021,09/30/2022
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.057,,10/01/2021,09/30/2022
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.917,,10/01/2021,09/30/2022
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.346,,10/01/2021,09/30/2022
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.515,,10/01/2021,09/30/2022
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.424,,10/01/2021,09/30/2022
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.676,,10/01/2021,09/30/2022
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.048,,10/01/2021,09/30/2022
CT,HAI_3_SIR,SSI - Colon Surgery,0.846,,10/01/2021,09/30/2022
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.234,,10/01/2021,09/30/2022
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.820,,10/01/2021,09/30/2022
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.460,,10/01/2021,09/30/2022
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.714,,10/01/2021,09/30/2022
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.078,,10/01/2021,09/30/2022
CT,HAI_5_SIR,MRSA Bacteremia,0.882,,10/01/2021,09/30/2022
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.512,,10/01/2021,09/30/2022
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.607,,10/01/2021,09/30/2022
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.558,,10/01/2021,09/30/2022
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.830,,10/01/2021,09/30/2022
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.261,,10/01/2021,09/30/2022
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.029,,10/01/2021,09/30/2022
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.316,,10/01/2021,09/30/2022
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.569,,10/01/2021,09/30/2022
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.429,,10/01/2021,09/30/2022
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.908,,10/01/2021,09/30/2022
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.718,,10/01/2021,09/30/2022
DC,HAI_3_SIR,SSI - Colon Surgery,1.265,,10/01/2021,09/30/2022
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.042,,10/01/2021,09/30/2022
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,3.123,,10/01/2021,09/30/2022
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.873,,10/01/2021,09/30/2022
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.498,,10/01/2021,09/30/2022
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.959,,10/01/2021,09/30/2022
DC,HAI_5_SIR,MRSA Bacteremia,0.701,,10/01/2021,09/30/2022
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.385,,10/01/2021,09/30/2022
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.513,,10/01/2021,09/30/2022
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.445,,10/01/2021,09/30/2022
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.424,,10/01/2021,09/30/2022
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.810,,10/01/2021,09/30/2022
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.594,,10/01/2021,09/30/2022
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.498,,10/01/2021,09/30/2022
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.928,,10/01/2021,09/30/2022
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.688,,10/01/2021,09/30/2022
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.499,,10/01/2021,09/30/2022
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.156,,10/01/2021,09/30/2022
DE,HAI_3_SIR,SSI - Colon Surgery,0.776,,10/01/2021,09/30/2022
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.218,,10/01/2021,09/30/2022
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.336,,10/01/2021,09/30/2022
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.858,,10/01/2021,09/30/2022
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.606,,10/01/2021,09/30/2022
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.147,,10/01/2021,09/30/2022
DE,HAI_5_SIR,MRSA Bacteremia,0.844,,10/01/2021,09/30/2022
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.454,,10/01/2021,09/30/2022
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.628,,10/01/2021,09/30/2022
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.536,,10/01/2021,09/30/2022
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.737,,10/01/2021,09/30/2022
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.835,,10/01/2021,09/30/2022
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.785,,10/01/2021,09/30/2022
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.480,,10/01/2021,09/30/2022
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.555,,10/01/2021,09/30/2022
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.516,,10/01/2021,09/30/2022
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.678,,10/01/2021,09/30/2022
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.810,,10/01/2021,09/30/2022
FL,HAI_3_SIR,SSI - Colon Surgery,0.742,,10/01/2021,09/30/2022
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.742,,10/01/2021,09/30/2022
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.038,,10/01/2021,09/30/2022
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.881,,10/01/2021,09/30/2022
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.910,,10/01/2021,09/30/2022
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.044,,10/01/2021,09/30/2022
FL,HAI_5_SIR,MRSA Bacteremia,0.975,,10/01/2021,09/30/2022
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.338,,10/01/2021,09/30/2022
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.365,,10/01/2021,09/30/2022
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.352,,10/01/2021,09/30/2022
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.849,,10/01/2021,09/30/2022
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.993,,10/01/2021,09/30/2022
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.919,,10/01/2021,09/30/2022
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.595,,10/01/2021,09/30/2022
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.710,,10/01/2021,09/30/2022
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.651,,10/01/2021,09/30/2022
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.674,,10/01/2021,09/30/2022
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.872,,10/01/2021,09/30/2022
GA,HAI_3_SIR,SSI - Colon Surgery,0.768,,10/01/2021,09/30/2022
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.019,,10/01/2021,09/30/2022
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.452,,10/01/2021,09/30/2022
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.221,,10/01/2021,09/30/2022
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.005,,10/01/2021,09/30/2022
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.218,,10/01/2021,09/30/2022
GA,HAI_5_SIR,MRSA Bacteremia,1.107,,10/01/2021,09/30/2022
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.421,,10/01/2021,09/30/2022
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.471,,10/01/2021,09/30/2022
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.446,,10/01/2021,09/30/2022
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2021,09/30/2022
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2021,09/30/2022
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2021,09/30/2022
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2021,09/30/2022
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2021,09/30/2022
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
